Compaint_No,Complaint,Complaint Category,Company,Problem,Summary,Pin Code,City,team
1001,"I am writing to file a complaint regarding the erroneous credit reporting by EQUIFAX, INC. (PA 19153), wherein my credit report contains incorrect information that belongs to someone else.",Credit Reporting.,"EQUIFAX, INC.",Erroneous credit reporting,Erroneous credit reporting.,PA 19153,PA 19153,Credit Team
1002,"I am writing to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., as I have identified unauthorized credit inquiries on my report that I do not recognize, which occurred in SC 29212.",Improper credit report.,"EQUIFAX, INC.",Unauthorized credit inquiries.,Unauthorized credit inquiries.,SC 29212,SC 29212,Credit Team
1003,"I am filing a complaint regarding Credit reporting or other personal consumer reports with EQUIFAX, INC., as I encountered a problem with the company's investigation into an existing issue, specifically that I was not notified of the investigation status or results, and this occurred in SC 29418.",Credit reporting,"EQUIFAX, INC.",Investigation status notification,Credit report complaint.,29418,Charleston,Credit Team
1004,"I am writing to file a complaint regarding an issue with my credit report from EQUIFAX, INC., as I have identified incorrect account information listed on my report, and I reside in SC 29483.",Credit Report Issue,"EQUIFAX, INC.",Incorrect account information.,Complaint about credit report.,SC 29483,SC 29483,Credit Team
1005,"I am filing a complaint regarding credit reporting by EQUIFAX, INC. in LA 70122, as my report contains incorrect information that belongs to someone else.",Credit reporting,"EQUIFAX, INC.",Incorrect information.,Complaint about incorrect information.,70122,LA,Credit Team
1006,"I am writing to file a complaint regarding my credit report from EQUIFAX, INC. (CA 93313), which contains incorrect information belonging to someone else, impacting my personal consumer report inaccurately.",Credit Report.,"EQUIFAX, INC.",Incorrect information.,Incorrect credit report,93313,CA 93313,Credit Team
1007,"I am filing a complaint against EQUIFAX, INC. in CT 06790 for the improper use of my credit report, as they have utilized my personal consumer report without proper authorization.",Improper use.,"EQUIFAX, INC.",Improper use report,Improper credit use,06790,Torrington,Breach Support
1008,"I would like to file a complaint regarding credit reporting with EQUIFAX, INC., as there is incorrect information on my report that belongs to someone else, and I am located in CT 06010.",Credit reporting.,"EQUIFAX, INC.",Incorrect information.,Incorrect information reported.,06010,Bristol,Credit Team
1009,"I am writing to file a complaint regarding incorrect information on my credit report provided by EQUIFAX, INC., as it contains information that belongs to someone else, and I reside in CA 93308.",Credit report error,"EQUIFAX, INC.",Incorrect information.,Complaint about credit report.,93308,CA 93308,Credit Team
1010,"I am writing to file a complaint regarding the incorrect account information on my credit report provided by EQUIFAX, INC., as my report contains inaccuracies that need urgent correction in NJ 07083.",Incorrect account information,"EQUIFAX, INC.",Incorrect account information,Inaccurate credit report.,07083,Union.,Information Team
1011,"I would like to file a complaint regarding my credit report from EQUIFAX, INC. as it contains incorrect information that belongs to someone else, and I reside in GA 30331.",Credit Report Error,"EQUIFAX, INC.",Incorrect information.,Incorrect credit report.,30331,GA 30331,Credit Team
1012,"I am writing to file a complaint regarding incorrect account information on my credit report, specifically related to EQUIFAX, INC., in FL 33470, as the information provided is inaccurate and adversely affects my credit standing.",Incorrect account information,"EQUIFAX, INC.",Incorrect account information,Incorrect account information.,FL 33470,FL 33470,Information Team
